Date,1_ALEX,3_COBY,2_ORPY,
Date,AlexS2,ColByEL2,ORP_PoW3,
Fri 01 Jan 2010,0,0,0,
Sat 02 Jan 2010,0,0,0,
Sun 03 Jan 2010,0,0,0,
Mon 04 Jan 2010,0,0,0,
Tue 05 Jan 2010,0,0,0,
Wed 06 Jan 2010,0,0,0,
Thu 07 Jan 2010,0,0,0,
Fri 08 Jan 2010,0,0,0,
Sat 09 Jan 2010,0,0,0,
Sun 10 Jan 2010,0,0,0,
Mon 11 Jan 2010,0,0,0,
Tue 12 Jan 2010,0,0,0,
Wed 13 Jan 2010,0,0,0,
Thu 14 Jan 2010,0,0,0,
Fri 15 Jan 2010,0,0,0,
Sat 16 Jan 2010,0,0,0,
Sun 17 Jan 2010,0,0,0,
Mon 18 Jan 2010,0,0,0,
Tue 19 Jan 2010,0,0,0,
Wed 20 Jan 2010,0,0,0,
Thu 21 Jan 2010,0,0,0,
Fri 22 Jan 2010,0,0,0,
Sat 23 Jan 2010,0,0,0,
Sun 24 Jan 2010,0,0,0,
Mon 25 Jan 2010,0,0,0,
Tue 26 Jan 2010,0,0,0,
Wed 27 Jan 2010,0,0,0,
Thu 28 Jan 2010,3,0,0,
Fri 29 Jan 2010,0,0,0,
Sat 30 Jan 2010,0,0,0,
Sun 31 Jan 2010,0,0,0,
Mon 01 Feb 2010,0,0,0,
Tue 02 Feb 2010,1,0,0,
Wed 03 Feb 2010,0,0,0,
Thu 04 Feb 2010,2,0,0,
Fri 05 Feb 2010,3,67,0,
Sat 06 Feb 2010,3,35,0,
Sun 07 Feb 2010,0,41,0,
Mon 08 Feb 2010,4,74,0,
Tue 09 Feb 2010,1,93,0,
Wed 10 Feb 2010,0,120,0,
Thu 11 Feb 2010,0,83,0,
Fri 12 Feb 2010,0,89,0,
Sat 13 Feb 2010,0,43,0,
Sun 14 Feb 2010,0,46,0,
Mon 15 Feb 2010,0,53,0,
Tue 16 Feb 2010,0,88,0,
Wed 17 Feb 2010,0,67,0,
Thu 18 Feb 2010,0,76,0,
Fri 19 Feb 2010,0,80,0,
Sat 20 Feb 2010,0,54,0,
Sun 21 Feb 2010,0,42,0,
Mon 22 Feb 2010,0,77,0,
Tue 23 Feb 2010,0,65,0,
Wed 24 Feb 2010,0,51,0,
Thu 25 Feb 2010,0,51,0,
Fri 26 Feb 2010,0,47,0,
Sat 27 Feb 2010,0,30,0,
Sun 28 Feb 2010,2,59,0,
Mon 01 Mar 2010,9,115,0,
Tue 02 Mar 2010,12,136,0,
Wed 03 Mar 2010,47,167,0,
Thu 04 Mar 2010,86,177,0,
Fri 05 Mar 2010,79,246,0,
Sat 06 Mar 2010,145,258,0,
Sun 07 Mar 2010,218,363,0,
Mon 08 Mar 2010,346,305,0,
Tue 09 Mar 2010,362,334,0,
Wed 10 Mar 2010,396,349,0,
Thu 11 Mar 2010,416,346,0,
Fri 12 Mar 2010,397,260,0,
Sat 13 Mar 2010,208,183,0,
Sun 14 Mar 2010,76,49,0,
Mon 15 Mar 2010,523,337,0,
Tue 16 Mar 2010,746,583,0,
Wed 17 Mar 2010,728,615,0,
Thu 18 Mar 2010,666,511,0,
Fri 19 Mar 2010,694,631,109,
Sat 20 Mar 2010,323,283,368,
Sun 21 Mar 2010,250,238,354,
Mon 22 Mar 2010,566,347,552,
Tue 23 Mar 2010,256,121,137,
Wed 24 Mar 2010,602,390,667,
Thu 25 Mar 2010,586,388,651,
Fri 26 Mar 2010,369,206,217,
Sat 27 Mar 2010,197,207,242,
Sun 28 Mar 2010,264,247,396,
Mon 29 Mar 2010,262,189,295,
Tue 30 Mar 2010,597,376,771,
Wed 31 Mar 2010,778,563,1157,
