Date,AlexS2,ColByEL2,ORP_PoW3,
Date,1_ALEX,3_COBY,2_ORPY,
Thu 01 Apr 2010,914,696,1517,
Fri 02 Apr 2010,1076,1463,2779,
Sat 03 Apr 2010,989,1312,2092,
Sun 04 Apr 2010,865,1108,1809,
Mon 05 Apr 2010,387,440,852,
Tue 06 Apr 2010,955,522,1209,
Wed 07 Apr 2010,547,304,519,
Thu 08 Apr 2010,545,256,592,
Fri 09 Apr 2010,656,337,709,
Sat 10 Apr 2010,386,448,543,
Sun 11 Apr 2010,456,493,786,
Mon 12 Apr 2010,1050,597,1420,
Tue 13 Apr 2010,1265,826,1773,
Wed 14 Apr 2010,1475,1023,1933,
Thu 15 Apr 2010,1121,646,1128,
Fri 16 Apr 2010,499,271,444,
Sat 17 Apr 2010,179,156,125,
Sun 18 Apr 2010,646,587,935,
Mon 19 Apr 2010,1375,839,1804,
Tue 20 Apr 2010,1566,1043,2057,
Wed 21 Apr 2010,1456,951,1904,
Thu 22 Apr 2010,1141,587,1164,
Fri 23 Apr 2010,1243,803,1595,
Sat 24 Apr 2010,1140,1411,2054,
Sun 25 Apr 2010,975,1153,1501,
Mon 26 Apr 2010,1504,1151,2150,
Tue 27 Apr 2010,625,272,460,
Wed 28 Apr 2010,1285,703,1242,
Thu 29 Apr 2010,1583,974,1761,
Fri 30 Apr 2010,1414,877,1531,
Sat 01 May 2010,663,867,1023,
Sun 02 May 2010,780,1054,1808,
Mon 03 May 2010,674,702,1194,
Tue 04 May 2010,539,857,1560,
Wed 05 May 2010,577,1211,2335,
Thu 06 May 2010,1159,858,1419,
Fri 07 May 2010,1205,914,1847,
Sat 08 May 2010,114,184,85,
Sun 09 May 2010,223,174,166,
Mon 10 May 2010,1013,749,1470,
Tue 11 May 2010,1375,1148,2104,
Wed 12 May 2010,1373,1029,2046,
Thu 13 May 2010,1481,1218,2315,
Fri 14 May 2010,1035,926,1295,
Sat 15 May 2010,723,1123,1139,
Sun 16 May 2010,1499,2189,3418,
Mon 17 May 2010,1536,1533,3119,
Tue 18 May 2010,1724,1493,2924,
Wed 19 May 2010,1871,1776,3084,
Thu 20 May 2010,1507,1521,2511,
Fri 21 May 2010,1513,1749,2685,
Sat 22 May 2010,774,1095,1166,
Sun 23 May 2010,1412,1601,2651,
Mon 24 May 2010,1335,1982,3446,
Tue 25 May 2010,1555,1468,2779,
Wed 26 May 2010,1520,1510,2579,
Thu 27 May 2010,1831,1522,2699,
Fri 28 May 2010,1563,1620,2428,
Sat 29 May 2010,965,1313,1992,
Sun 30 May 2010,1014,1196,1654,
Mon 31 May 2010,1455,1221,2601,
Tue 01 Jun 2010,0,1103,1405,
Wed 02 Jun 2010,0,1469,2809,
Thu 03 Jun 2010,0,1012,1630,
Fri 04 Jun 2010,0,1631,2957,
Sat 05 Jun 2010,0,837,879,
Sun 06 Jun 2010,0,256,288,
Mon 07 Jun 2010,0,1276,2640,
Tue 08 Jun 2010,0,1420,3180,
Wed 09 Jun 2010,0,1259,2393,
Thu 10 Jun 2010,0,952,1176,
Fri 11 Jun 2010,0,1589,2933,
Sat 12 Jun 2010,0,674,930,
Sun 13 Jun 2010,0,1326,2761,
Mon 14 Jun 2010,0,1123,2021,
Tue 15 Jun 2010,0,1806,3525,
Wed 16 Jun 2010,0,731,1182,
Thu 17 Jun 2010,0,1965,2828,
Fri 18 Jun 2010,0,1761,3040,
Sat 19 Jun 2010,0,965,1233,
Sun 20 Jun 2010,0,1098,2152,
Mon 21 Jun 2010,0,1796,3616,
Tue 22 Jun 2010,0,1555,2660,
Wed 23 Jun 2010,0,1571,2260,
Thu 24 Jun 2010,0,1072,1451,
Fri 25 Jun 2010,0,1664,2822,
Sat 26 Jun 2010,0,606,891,
Sun 27 Jun 2010,0,1000,2033,
Mon 28 Jun 2010,0,929,1778,
Tue 29 Jun 2010,0,1028,2041,
Wed 30 Jun 2010,0,1135,1952,
