Date,,ColByEL2,ORP_PoW3,
Date,1_ALEX,3_COBY,2_ORPY,
Fri 01 Oct 2010,0,722,1297,
Sat 02 Oct 2010,0,554,651,
Sun 03 Oct 2010,0,535,908,
Mon 04 Oct 2010,0,710,1548,
Tue 05 Oct 2010,0,942,2064,
Wed 06 Oct 2010,0,427,793,
Thu 07 Oct 2010,0,656,1176,
Fri 08 Oct 2010,0,686,1300,
Sat 09 Oct 2010,0,663,668,
Sun 10 Oct 2010,0,508,816,
Mon 11 Oct 2010,0,610,1031,
Tue 12 Oct 2010,0,673,1387,
Wed 13 Oct 2010,0,822,1628,
Thu 14 Oct 2010,0,367,659,
Fri 15 Oct 2010,0,327,472,
Sat 16 Oct 2010,0,508,579,
Sun 17 Oct 2010,0,498,813,
Mon 18 Oct 2010,0,619,1288,
Tue 19 Oct 2010,0,583,1126,
Wed 20 Oct 2010,0,627,1207,
Thu 21 Oct 2010,0,432,683,
Fri 22 Oct 2010,0,416,744,
Sat 23 Oct 2010,0,416,538,
Sun 24 Oct 2010,0,103,84,
Mon 25 Oct 2010,0,337,688,
Tue 26 Oct 2010,0,506,1311,
Wed 27 Oct 2010,0,666,1503,
Thu 28 Oct 2010,0,480,893,
Fri 29 Oct 2010,0,417,710,
Sat 30 Oct 2010,0,117,119,
Sun 31 Oct 2010,0,112,93,
Mon 01 Nov 2010,0,369,710,
Tue 02 Nov 2010,0,422,895,
Wed 03 Nov 2010,0,406,976,
Thu 04 Nov 2010,0,273,494,
Fri 05 Nov 2010,0,217,404,
Sat 06 Nov 2010,0,229,161,
Sun 07 Nov 2010,0,226,315,
Mon 08 Nov 2010,0,379,809,
Tue 09 Nov 2010,0,407,898,
Wed 10 Nov 2010,0,424,943,
Thu 11 Nov 2010,0,333,555,
Fri 12 Nov 2010,0,391,791,
Sat 13 Nov 2010,0,303,550,
Sun 14 Nov 2010,0,215,320,
Mon 15 Nov 2010,0,340,884,
Tue 16 Nov 2010,0,418,923,
Wed 17 Nov 2010,0,181,365,
Thu 18 Nov 2010,0,315,609,
Fri 19 Nov 2010,0,233,457,
Sat 20 Nov 2010,0,131,127,
Sun 21 Nov 2010,0,95,112,
Mon 22 Nov 2010,0,119,159,
Tue 23 Nov 2010,0,202,435,
Wed 24 Nov 2010,0,217,503,
Thu 25 Nov 2010,0,164,404,
Fri 26 Nov 2010,0,53,50,
Sat 27 Nov 2010,0,24,11,
Sun 28 Nov 2010,0,28,4,
Mon 29 Nov 2010,0,158,111,
Tue 30 Nov 2010,0,128,143,
Wed 01 Dec 2010,0,70,148,
Thu 02 Dec 2010,0,127,262,
Fri 03 Dec 2010,0,97,178,
Sat 04 Dec 2010,0,63,69,
Sun 05 Dec 2010,0,39,36,
Mon 06 Dec 2010,0,39,56,
Tue 07 Dec 2010,0,53,54,
Wed 08 Dec 2010,0,47,45,
Thu 09 Dec 2010,0,43,41,
Fri 10 Dec 2010,0,44,33,
Sat 11 Dec 2010,0,21,14,
Sun 12 Dec 2010,0,14,3,
Mon 13 Dec 2010,0,18,10,
Tue 14 Dec 2010,0,31,3,
Wed 15 Dec 2010,0,34,3,
Thu 16 Dec 2010,0,38,0,
Fri 17 Dec 2010,0,36,3,
Sat 18 Dec 2010,0,22,1,
Sun 19 Dec 2010,0,9,2,
Mon 20 Dec 2010,0,16,1,
Tue 21 Dec 2010,0,19,2,
Wed 22 Dec 2010,0,12,1,
Thu 23 Dec 2010,0,23,0,
Fri 24 Dec 2010,0,11,1,
Sat 25 Dec 2010,0,9,1,
Sun 26 Dec 2010,0,12,1,
Mon 27 Dec 2010,0,12,2,
Tue 28 Dec 2010,0,6,2,
Wed 29 Dec 2010,0,14,6,
Thu 30 Dec 2010,0,21,1,
Fri 31 Dec 2010,0,21,5,
