Date,1_ALEX,4_CRTZ,3_COBY,2_ORPY,
Date,AlexS2,CNL RTZ_6892,ColByEL2,ORP_PoW3,
Fri 01 Apr 2011,414,0,179,112,
Sat 02 Apr 2011,331,0,277,266,
Sun 03 Apr 2011,442,0,392,550,
Mon 04 Apr 2011,306,0,103,138,
Tue 05 Apr 2011,462,0,159,273,
Wed 06 Apr 2011,612,0,252,570,
Thu 07 Apr 2011,744,0,317,835,
Fri 08 Apr 2011,794,0,377,1058,
Sat 09 Apr 2011,739,0,605,1373,
Sun 10 Apr 2011,458,0,320,820,
Mon 11 Apr 2011,450,0,180,559,
Tue 12 Apr 2011,955,0,483,1481,
Wed 13 Apr 2011,631,0,225,757,
Thu 14 Apr 2011,821,0,440,1077,
Fri 15 Apr 2011,784,0,346,969,
Sat 16 Apr 2011,138,0,75,78,
Sun 17 Apr 2011,176,0,140,168,
Mon 18 Apr 2011,630,0,252,852,
Tue 19 Apr 2011,887,0,388,1246,
Wed 20 Apr 2011,209,0,58,138,
Thu 21 Apr 2011,498,0,218,560,
Fri 22 Apr 2011,750,0,693,1459,
Sat 23 Apr 2011,287,0,233,225,
Sun 24 Apr 2011,583,0,646,1281,
Mon 25 Apr 2011,966,0,792,1682,
Tue 26 Apr 2011,379,0,271,560,
Wed 27 Apr 2011,698,0,471,990,
Thu 28 Apr 2011,598,0,390,680,
Fri 29 Apr 2011,788,0,375,954,
Sat 30 Apr 2011,1102,0,1225,2297,
Sun 01 May 2011,1040,0,1113,2349,
Mon 02 May 2011,591,0,336,844,
Tue 03 May 2011,753,0,353,989,
Wed 04 May 2011,968,0,796,897,
Thu 05 May 2011,1241,0,795,1401,
Fri 06 May 2011,1199,0,910,1740,
Sat 07 May 2011,1129,0,1290,1807,
Sun 08 May 2011,1021,0,1053,1683,
Mon 09 May 2011,1828,0,1296,2888,
Tue 10 May 2011,1856,0,1440,2929,
Wed 11 May 2011,1938,0,1428,3051,
Thu 12 May 2011,2082,0,1705,3107,
Fri 13 May 2011,1434,0,1179,2085,
Sat 14 May 2011,162,0,166,147,
Sun 15 May 2011,570,0,458,580,
Mon 16 May 2011,604,0,345,725,
Tue 17 May 2011,1099,0,852,1249,
Wed 18 May 2011,1352,0,963,1459,
Thu 19 May 2011,1122,0,908,1164,
Fri 20 May 2011,1687,0,1215,2144,
Sat 21 May 2011,2270,0,2284,3203,
Sun 22 May 2011,1379,0,1060,1414,
Mon 23 May 2011,1107,0,1180,1419,
Tue 24 May 2011,1869,0,1294,2529,
Wed 25 May 2011,2310,0,1920,3371,
Thu 26 May 2011,1125,0,938,982,
Fri 27 May 2011,587,0,488,545,
Sat 28 May 2011,745,0,1010,781,
Sun 29 May 2011,1046,0,1113,1441,
Mon 30 May 2011,2071,2064,1760,3835,
Tue 31 May 2011,2400,2004,1872,3528,
Wed 01 Jun 2011,2090,1791,1780,2959,
Thu 02 Jun 2011,1792,1103,1206,2131,
Fri 03 Jun 2011,1951,1754,1509,3055,
Sat 04 Jun 2011,1541,1974,1611,2372,
Sun 05 Jun 2011,1515,2092,1292,2155,
Mon 06 Jun 2011,2097,2147,1798,3662,
Tue 07 Jun 2011,2219,2096,1756,3499,
Wed 08 Jun 2011,1819,1354,1318,2295,
Thu 09 Jun 2011,2009,1607,1588,2512,
Fri 10 Jun 2011,2071,1758,1864,3052,
Sat 11 Jun 2011,1175,1326,1288,1707,
Sun 12 Jun 2011,1076,1598,995,1568,
Mon 13 Jun 2011,1246,765,768,1570,
Tue 14 Jun 2011,2459,2191,2066,3421,
Wed 15 Jun 2011,2564,2176,2286,3578,
Thu 16 Jun 2011,2642,2152,2175,3409,
Fri 17 Jun 2011,2079,1444,1617,2452,
Sat 18 Jun 2011,1670,2210,1896,2562,
Sun 19 Jun 2011,1793,2807,1623,3050,
Mon 20 Jun 2011,2392,2108,1944,3548,
Tue 21 Jun 2011,2588,2297,2427,3625,
Wed 22 Jun 2011,1890,1372,1738,2410,
Thu 23 Jun 2011,1279,926,1297,1326,
Fri 24 Jun 2011,630,519,632,765,
Sat 25 Jun 2011,615,776,648,638,
Sun 26 Jun 2011,1658,2289,1389,2458,
Mon 27 Jun 2011,2419,2299,2089,3782,
Tue 28 Jun 2011,1680,1339,1626,2015,
Wed 29 Jun 2011,1616,1045,1314,1932,
Thu 30 Jun 2011,2157,1779,1980,2836,
