,,,,,,,,
Date,1_ALEX,4_CRTZ,3_COLBY,2_ORPY,7_LBAY,6_LLYN,5_LMET,
Fri 01 Jul 2011,884,3722,2868,5797,0,0,0,
Sat 02 Jul 2011,1924,2329,2103,2662,0,0,0,
Sun 03 Jul 2011,1548,2339,1292,2177,0,0,0,
Mon 04 Jul 2011,2168,2014,1819,3420,0,0,0,
Tue 05 Jul 2011,2462,2182,1879,4502,0,0,0,
Wed 06 Jul 2011,1644,1389,1330,3116,0,0,0,
Thu 07 Jul 2011,2321,2371,2144,4503,0,0,0,
Fri 08 Jul 2011,1816,1543,1571,3274,0,0,0,
Sat 09 Jul 2011,1683,2137,1777,3554,0,0,0,
Sun 10 Jul 2011,1672,2355,1538,3488,518,990,1278,
Mon 11 Jul 2011,1577,1314,1242,2237,479,1161,1541,
Tue 12 Jul 2011,2123,2020,1657,3808,670,1706,1991,
Wed 13 Jul 2011,2118,1759,1560,3433,590,1510,1962,
Thu 14 Jul 2011,2260,2329,2049,4067,627,1613,2089,
Fri 15 Jul 2011,1996,1857,1749,3601,598,1392,1812,
Sat 16 Jul 2011,291,1894,1617,2934,329,786,1015,
Sun 17 Jul 2011,1216,1826,1018,2447,340,688,825,
Mon 18 Jul 2011,1204,1323,1237,1791,345,801,1087,
Tue 19 Jul 2011,2342,2275,2087,3708,553,1420,1885,
Wed 20 Jul 2011,2057,1790,1770,2962,534,1332,1664,
Thu 21 Jul 2011,1357,1126,1209,1828,396,965,1307,
Fri 22 Jul 2011,1662,1481,1472,2311,459,1092,1379,
Sat 23 Jul 2011,1382,1649,1409,1920,251,593,748,
Sun 24 Jul 2011,1842,2531,1543,2509,341,765,962,
Mon 25 Jul 2011,1214,1069,1103,1500,364,790,1120,
Tue 26 Jul 2011,1702,1581,1546,2388,523,1233,1631,
Wed 27 Jul 2011,2349,2414,2169,3502,565,1434,1901,
Thu 28 Jul 2011,1894,1960,1899,3007,505,1388,1799,
Fri 29 Jul 2011,723,1224,1272,1851,372,995,1294,
Sat 30 Jul 2011,1467,2125,1795,2261,304,649,785,
Sun 31 Jul 2011,1515,2442,1388,2184,300,644,833,
