Date,AlexS2,CNL RTZ_6892,ColByEL2,ORP_PoW3,LSBL Bay,LSBL lyo,Laurier_at_Metcalfe,
Date,1_ALEX,4_CRTZ,3_COLBY,2_ORPY,7_LBAY,6_LLYN,5_LMET,
Sat 01 Oct 2011,435,374,473,347,138,329,478,
Sun 02 Oct 2011,391,420,406,351,127,245,488,
Mon 03 Oct 2011,836,450,492,867,308,717,989,
Tue 04 Oct 2011,1230,825,814,1385,473,1048,1629,
Wed 05 Oct 2011,1554,1159,1104,1888,517,1307,1985,
Thu 06 Oct 2011,1664,1040,1095,1727,476,1234,1851,
Fri 07 Oct 2011,1431,1136,1161,1849,431,1064,1649,
Sat 08 Oct 2011,1240,1587,1419,1802,180,466,720,
Sun 09 Oct 2011,1445,1901,1439,2020,198,434,560,
Mon 10 Oct 2011,1509,2047,1728,2182,218,461,591,
Tue 11 Oct 2011,1609,1277,1142,2129,508,1278,1941,
Wed 12 Oct 2011,1424,943,939,1644,483,1198,1815,
Thu 13 Oct 2011,643,372,442,753,290,627,976,
Fri 14 Oct 2011,685,481,514,644,265,617,946,
Sat 15 Oct 2011,415,514,468,375,152,363,628,
Sun 16 Oct 2011,397,532,440,429,127,303,498,
Mon 17 Oct 2011,873,448,515,864,305,712,1096,
Tue 18 Oct 2011,1165,804,754,1341,479,1106,1616,
Wed 19 Oct 2011,1122,692,759,1219,415,1010,1535,
Thu 20 Oct 2011,584,326,370,523,250,592,934,
Fri 21 Oct 2011,894,470,585,987,304,752,1185,
Sat 22 Oct 2011,509,469,544,440,171,352,475,
Sun 23 Oct 2011,643,665,528,729,143,301,537,
Mon 24 Oct 2011,761,500,512,894,308,725,1058,
Tue 25 Oct 2011,1122,671,741,1249,401,976,1452,
Wed 26 Oct 2011,993,593,635,1044,340,865,1340,
Thu 27 Oct 2011,901,502,575,952,377,887,1279,
Fri 28 Oct 2011,835,514,635,823,294,721,1074,
Sat 29 Oct 2011,379,353,443,280,117,269,410,
Sun 30 Oct 2011,405,609,388,517,108,216,382,
Mon 31 Oct 2011,937,582,563,1122,344,836,1224,
Tue 01 Nov 2011,982,658,640,1239,397,899,1314,
Wed 02 Nov 2011,996,817,679,1370,373,968,1433,
Thu 03 Nov 2011,797,463,493,860,294,763,1113,
Fri 04 Nov 2011,803,547,548,837,295,732,1143,
Sat 05 Nov 2011,459,422,439,455,168,325,514,
Sun 06 Nov 2011,598,748,574,690,138,261,427,
Mon 07 Nov 2011,1084,770,703,1263,374,909,1383,
Tue 08 Nov 2011,1138,696,685,1206,357,895,1376,
Wed 09 Nov 2011,1098,787,723,1320,394,904,1413,
Thu 10 Nov 2011,802,505,498,798,336,784,1233,
Fri 11 Nov 2011,448,349,446,303,209,394,627,
Sat 12 Nov 2011,302,231,310,218,109,239,392,
Sun 13 Nov 2011,381,399,355,333,132,236,385,
Mon 14 Nov 2011,953,648,588,1086,351,770,1189,
Tue 15 Nov 2011,982,635,662,1110,333,847,1332,
Wed 16 Nov 2011,868,538,586,961,354,805,1259,
Thu 17 Nov 2011,833,420,505,752,283,698,979,
Fri 18 Nov 2011,682,339,424,648,268,655,1024,
Sat 19 Nov 2011,375,339,385,341,118,298,418,
Sun 20 Nov 2011,269,284,232,155,88,208,333,
Mon 21 Nov 2011,643,336,393,614,258,586,883,
Tue 22 Nov 2011,671,341,409,624,278,624,942,
Wed 23 Nov 2011,241,42,108,58,105,189,329,
Thu 24 Nov 2011,411,140,210,90,144,340,552,
Fri 25 Nov 2011,502,317,395,505,226,540,849,
Sat 26 Nov 2011,291,357,393,359,126,253,388,
Sun 27 Nov 2011,197,164,149,140,63,129,236,
Mon 28 Nov 2011,640,350,406,612,255,609,896,
Tue 29 Nov 2011,401,165,216,326,171,358,548,
Wed 30 Nov 2011,385,205,262,282,166,390,576,
Thu 01 Dec 2011,484,232,316,414,209,468,686,
Fri 02 Dec 2011,237,84,136,132,94,200,386,
Sat 03 Dec 2011,182,146,202,156,61,140,232,
Sun 04 Dec 2011,190,210,184,170,78,141,218,
Mon 05 Dec 2011,415,215,256,405,149,324,495,
Tue 06 Dec 2011,340,161,228,253,147,324,510,
Wed 07 Dec 2011,408,214,268,340,186,383,572,
Thu 08 Dec 2011,359,177,275,256,139,320,535,
Fri 09 Dec 2011,271,168,172,189,138,283,488,
Sat 10 Dec 2011,149,143,164,90,63,127,231,
Sun 11 Dec 2011,189,175,141,112,36,97,198,
Mon 12 Dec 2011,474,303,311,498,197,411,682,
Tue 13 Dec 2011,344,172,196,218,138,293,472,
Wed 14 Dec 2011,380,226,273,348,176,406,626,
Thu 15 Dec 2011,289,154,216,303,165,314,503,
Fri 16 Dec 2011,346,206,244,290,155,325,496,
Sat 17 Dec 2011,98,54,63,25,36,77,127,
Sun 18 Dec 2011,117,98,79,68,32,75,130,
Mon 19 Dec 2011,258,136,165,166,110,245,378,
Tue 20 Dec 2011,281,131,185,191,132,269,476,
Wed 21 Dec 2011,145,74,99,68,75,148,288,
Thu 22 Dec 2011,180,75,115,37,85,173,308,
Fri 23 Dec 2011,110,49,80,42,58,119,200,
Sat 24 Dec 2011,42,13,38,5,11,27,46,
Sun 25 Dec 2011,13,13,10,2,27,28,62,
Mon 26 Dec 2011,9,20,39,0,18,28,65,
Tue 27 Dec 2011,2,29,29,3,15,33,79,
Wed 28 Dec 2011,0,19,19,0,39,67,132,
Thu 29 Dec 2011,0,31,28,0,21,54,152,
Fri 30 Dec 2011,0,20,18,0,24,38,101,
Sat 31 Dec 2011,0,18,18,0,28,32,74,
