Date,AlexS2,CNL RTZ_6892,ColByEL2,ORP_PoW3,Sommerset_OTrain_OUT,LSBL Bay,LSBL lyo,Laurier_at_Metcalfe,
Date,1_ALEX,4_CRTZ,3_COBY,2_ORPY,8_SOMO,7_LBAY,6_LLYN,5_LMET,
Sun 01 Jan 2012,0,10,8,0,12,15,19,38,
Mon 02 Jan 2012,0,22,15,0,11,27,32,62,
Tue 03 Jan 2012,6,35,49,1,35,40,77,176,
Wed 04 Jan 2012,2,39,40,0,27,42,88,165,
Thu 05 Jan 2012,19,46,57,1,41,55,108,218,
Fri 06 Jan 2012,8,31,38,4,15,58,98,210,
Sat 07 Jan 2012,1,25,20,3,19,15,35,61,
Sun 08 Jan 2012,4,23,29,0,18,22,43,64,
Mon 09 Jan 2012,16,59,91,0,48,77,135,239,
Tue 10 Jan 2012,22,65,99,3,70,80,166,285,
Wed 11 Jan 2012,6,56,80,0,54,80,154,262,
Thu 12 Jan 2012,3,35,66,0,9,66,120,244,
Fri 13 Jan 2012,1,28,42,0,8,59,122,229,
Sat 14 Jan 2012,1,16,15,1,5,23,35,57,
Sun 15 Jan 2012,0,9,17,1,8,19,34,74,
Mon 16 Jan 2012,0,42,61,0,21,65,123,220,
Tue 17 Jan 2012,0,31,51,0,5,51,84,194,
Wed 18 Jan 2012,1,50,77,0,10,55,99,213,
Thu 19 Jan 2012,0,40,80,0,8,56,121,244,
Fri 20 Jan 2012,0,36,64,1,11,52,105,232,
Sat 21 Jan 2012,0,12,24,0,6,22,42,60,
Sun 22 Jan 2012,0,22,30,2,8,158,183,197,
Mon 23 Jan 2012,0,33,60,0,22,59,131,222,
Tue 24 Jan 2012,0,44,50,0,42,66,133,247,
Wed 25 Jan 2012,3,41,57,0,33,70,148,266,
Thu 26 Jan 2012,0,36,54,1,39,67,138,258,
Fri 27 Jan 2012,0,26,29,0,10,42,72,203,
Sat 28 Jan 2012,0,26,20,0,13,31,55,97,
Sun 29 Jan 2012,0,18,15,0,13,27,48,77,
Mon 30 Jan 2012,0,49,50,0,46,70,136,235,
Tue 31 Jan 2012,1,16,26,0,16,74,128,230,
Wed 01 Feb 2012,7,16,34,0,39,71,114,205,
Thu 02 Feb 2012,12,20,39,0,35,71,143,251,
Fri 03 Feb 2012,15,22,40,0,54,73,135,223,
Sat 04 Feb 2012,11,25,18,2,17,29,38,90,
Sun 05 Feb 2012,6,22,23,0,15,27,56,87,
Mon 06 Feb 2012,21,37,50,0,7,92,157,274,
Tue 07 Feb 2012,11,18,30,1,53,93,163,239,
Wed 08 Feb 2012,15,35,39,0,50,83,161,283,
Thu 09 Feb 2012,24,38,56,0,59,98,174,294,
Fri 10 Feb 2012,21,39,40,0,42,78,152,278,
Sat 11 Feb 2012,12,12,9,1,16,12,31,63,
Sun 12 Feb 2012,24,13,20,1,13,18,33,52,
Mon 13 Feb 2012,21,40,39,0,42,82,148,281,
Tue 14 Feb 2012,21,44,50,0,67,83,168,307,
Wed 15 Feb 2012,14,34,42,0,55,80,167,284,
Thu 16 Feb 2012,32,44,64,0,63,83,182,320,
Fri 17 Feb 2012,41,39,53,0,64,85,169,275,
Sat 18 Feb 2012,27,26,30,3,30,33,67,131,
Sun 19 Feb 2012,20,17,38,0,20,33,69,120,
Mon 20 Feb 2012,34,34,51,1,39,66,131,211,
Tue 21 Feb 2012,21,46,68,1,77,111,210,339,
Wed 22 Feb 2012,35,48,81,0,65,107,212,350,
Thu 23 Feb 2012,26,50,87,1,71,118,201,317,
Fri 24 Feb 2012,6,31,50,1,23,82,133,222,
Sat 25 Feb 2012,1,13,20,1,9,21,31,65,
Sun 26 Feb 2012,1,26,16,0,14,17,38,61,
Mon 27 Feb 2012,4,33,52,0,34,69,127,246,
Tue 28 Feb 2012,1,41,51,0,48,89,153,268,
Wed 29 Feb 2012,0,45,56,1,43,72,138,200,
Thu 01 Mar 2012,1,27,39,0,30,69,107,211,
Fri 02 Mar 2012,9,42,57,0,44,53,117,236,
Sat 03 Mar 2012,3,7,14,0,11,28,39,74,
Sun 04 Mar 2012,4,14,24,0,11,29,42,65,
Mon 05 Mar 2012,9,34,68,0,47,75,117,226,
Tue 06 Mar 2012,13,54,57,0,63,83,154,274,
Wed 07 Mar 2012,32,104,123,0,89,121,234,346,
Thu 08 Mar 2012,37,53,103,0,67,104,191,285,
Fri 09 Mar 2012,28,78,93,0,87,116,195,344,
Sat 10 Mar 2012,28,69,59,0,25,37,70,114,
Sun 11 Mar 2012,34,232,194,4,46,72,103,181,
Mon 12 Mar 2012,28,204,226,0,140,204,333,518,
Tue 13 Mar 2012,81,260,254,8,132,245,335,511,
Wed 14 Mar 2012,116,149,219,19,108,166,303,463,
Thu 15 Mar 2012,135,150,202,31,89,173,335,470,
Fri 16 Mar 2012,160,167,198,54,90,152,305,457,
Sat 17 Mar 2012,310,513,411,324,106,128,250,364,
Sun 18 Mar 2012,799,1508,1043,1425,179,209,414,573,
Mon 19 Mar 2012,935,1079,798,1313,242,366,783,1157,
Tue 20 Mar 2012,1222,1325,961,1781,301,435,979,1456,
Wed 21 Mar 2012,1445,1423,1181,2075,300,407,968,1519,
Thu 22 Mar 2012,1068,935,849,1426,282,391,949,1391,
Fri 23 Mar 2012,1062,885,825,1408,290,357,841,1291,
Sat 24 Mar 2012,304,219,310,240,108,104,210,384,
Sun 25 Mar 2012,360,467,377,628,102,103,236,377,
Mon 26 Mar 2012,501,233,305,356,127,198,435,659,
Tue 27 Mar 2012,527,322,356,460,162,231,521,726,
Wed 28 Mar 2012,288,150,227,153,91,148,279,448,
Thu 29 Mar 2012,534,282,362,478,154,239,533,788,
Fri 30 Mar 2012,561,360,261,500,181,231,535,811,
Sat 31 Mar 2012,543,609,437,792,146,132,306,456,
