Date,AlexS2,CNL RTZ_6892,ColByEL2,ORP_PoW3,Sommerset_OTrain_OUT,LSBL Bay,LSBL lyo,Laurier_at_Metcalfe
Date,1_ALEX,4_CRTZ,3_COBY,2_ORPY,8_SOMO (westbound only),7_LBAY,6_LLYN,5_LMET
Sun 1 Apr 2012,153,123,68,93,53,62,128,197
Mon 2 Apr 2012,940,587,513,1059,249,305,754,1080
Tue 3 Apr 2012,1017,577,508,1234,237,348,824,1124
Wed 4 Apr 2012,864,436,575,896,202,299,712,1054
Thu 5 Apr 2012,831,459,536,914,214,307,740,1032
Fri 6 Apr 2012,567,678,680,741,115,122,261,378
Sat 7 Apr 2012,603,629,465,722,128,96,236,387
Sun 8 Apr 2012,880,1065,623,1437,94,116,255,371
Mon 9 Apr 2012,270,218,127,269,88,93,204,305
Tue 10 Apr 2012,615,342,392,630,176,234,545,849
Wed 11 Apr 2012,965,556,714,1026,241,297,772,1165
Thu 12 Apr 2012,1154,827,999,1636,304,401,972,1466
Fri 13 Apr 2012,1247,1020,1002,1822,311,374,994,1497
Sat 14 Apr 2012,914,1049,1041,1539,207,203,418,610
Sun 15 Apr 2012,897,1166,831,1306,153,161,357,535
Mon 16 Apr 2012,1114,729,711,1416,268,374,865,1268
Tue 17 Apr 2012,1190,749,834,1484,306,418,1027,1450
Wed 18 Apr 2012,1256,888,794,1710,306,441,1037,1479
Thu 19 Apr 2012,1583,1253,1059,2061,350,424,1147,1628
Fri 20 Apr 2012,616,363,440,626,193,247,567,838
Sat 21 Apr 2012,215,169,192,135,80,97,173,276
Sun 22 Apr 2012,503,596,459,682,113,132,276,437
Mon 23 Apr 2012,252,107,133,151,65,124,246,385
Tue 24 Apr 2012,560,213,353,560,161,247,572,777
Wed 25 Apr 2012,898,529,756,1000,240,330,785,1103
Thu 26 Apr 2012,839,407,561,890,217,306,742,1077
Fri 27 Apr 2012,660,319,404,599,193,256,603,871
Sat 28 Apr 2012,546,690,564,699,120,125,289,498
Sun 29 Apr 2012,625,881,666,809,135,166,309,478
Mon 30 Apr 2012,1244,958,915,1722,309,468,1142,1539
Tue 1 May 2012,874,501,585,963,221,337,808,1124
Wed 2 May 2012,1570,1191,1319,2031,305,517,1177,1723
Thu 3 May 2012,1352,700,1176,1291,257,427,982,1315
Fri 4 May 2012,1222,862,1168,1405,274,415,929,1415
Sat 5 May 2012,1451,2349,1535,2198,273,293,587,850
Sun 6 May 2012,1895,2801,1890,2924,226,308,636,913
Mon 7 May 2012,2068,2236,1686,2979,414,587,1427,2107
Tue 8 May 2012,660,319,466,614,148,215,542,792
Wed 9 May 2012,1319,1165,1066,1674,280,409,1053,1381
Thu 10 May 2012,1171,695,867,1187,254,425,988,1439
Fri 11 May 2012,1800,1268,1599,2426,373,509,1297,1907
Sat 12 May 2012,1707,2279,1867,2167,322,325,622,926
Sun 13 May 2012,1783,2516,2077,2969,222,254,607,814
Mon 14 May 2012,2393,1740,1973,3457,407,723,1734,2354
