Date,AlexS2,CNL RTZ_6892,ColByEL2,ORP_PoW3,Sommerset_OTrain_OUT,LSBL Bay,LSBL lyo,Laurier_at_Metcalfe
Date,1_ALEX,2_ORPY,3_COBY,4_CRTZ,5_LMET,6_LLYN,7_LBAY,8_SOMO (westbound only)
Sun 1 Jul 2012,875,4774,3053,2946,1505,1115,579,276
Mon 2 Jul 2012,1818,3103,2111,2536,980,685,313,246
Tue 3 Jul 2012,2070,2954,1683,1553,2308,1709,711,439
Wed 4 Jul 2012,2222,3793,1937,1963,2536,1924,743,515
Thu 5 Jul 2012,2223,3836,2151,2140,2714,1969,783,545
Fri 6 Jul 2012,1730,2995,1706,1551,2224,1656,680,453
Sat 7 Jul 2012,1393,2689,1754,1730,1106,741,364,312
Sun 8 Jul 2012,1951,3551,1912,2385,1161,951,400,315
Mon 9 Jul 2012,2322,3836,2186,2326,2593,1897,739,500
Tue 10 Jul 2012,2563,4375,2182,2190,2939,2190,853,551
Wed 11 Jul 2012,2540,3889,2250,2152,2760,2100,762,530
Thu 12 Jul 2012,2456,3862,2086,2009,2708,2086,826,569
Fri 13 Jul 2012,1892,3186,1714,1633,2283,1783,735,491
Sat 14 Jul 2012,1124,2173,1676,1456,1011,785,303,284
Sun 15 Jul 2012,1238,2075,1239,1394,934,662,272,252
Mon 16 Jul 2012,2014,2986,1649,1805,2349,1712,659,475
Tue 17 Jul 2012,1624,2060,1446,1229,1969,1427,575,406
Wed 18 Jul 2012,2400,3557,2205,2297,2582,1901,752,534
Thu 19 Jul 2012,2413,3347,2155,2100,2535,1904,757,536
Fri 20 Jul 2012,2165,3095,2068,1944,2271,1600,666,520
Sat 21 Jul 2012,1602,2480,1943,1875,910,612,280,331
Sun 22 Jul 2012,1737,2198,1612,1874,944,679,321,288
Mon 23 Jul 2012,1392,1935,1160,1103,1750,1288,501,350
Tue 24 Jul 2012,2227,3136,1934,2047,2480,1787,727,513
Wed 25 Jul 2012,2407,3469,2246,2169,2556,1817,701,496
Thu 26 Jul 2012,1669,1801,1321,1090,1956,1380,608,412
Fri 27 Jul 2012,2101,2944,1856,1790,2160,1614,659,457
Sat 28 Jul 2012,1609,2205,1923,1831,977,705,314,389
Sun 29 Jul 2012,1760,2618,1735,2170,1013,701,286,307
Mon 30 Jul 2012,2158,3089,1896,1976,2266,1676,606,460
