Date,1_ALEX,2_ORPY,3_COBY,4_CRTZ,5_LMET,6_LLYN,7_LBAY,8_SOMO,,
Mon 1 Oct 2012,1311,1320,873,876,1505,1057,427,483,,
Tue 2 Oct 2012,1771,2117,1226,1209,1988,1431,541,541,,
Wed 3 Oct 2012,1555,1679,1185,1046,1945,1327,361,552,,
Thu 4 Oct 2012,1672,1766,1220,1064,1864,1353,567,558,,
Fri 5 Oct 2012,1210,1269,987,825,1489,1023,382,456,,
Sat 6 Oct 2012,490,409,454,414,473,276,125,214,,
Sun 7 Oct 2012,668,688,547,611,386,252,119,179,,
Mon 8 Oct 2012,752,933,678,847,434,263,135,182,,
Tue 9 Oct 2012,1536,1772,1128,1076,1875,1315,500,498,,
Wed 10 Oct 2012,1170,1112,739,625,1534,1068,437,389,,
Thu 11 Oct 2012,1245,1209,885,653,1615,1109,466,446,,
Fri 12 Oct 2012,1084,1037,743,585,1379,936,396,390,,
Sat 13 Oct 2012,608,574,585,552,521,311,141,270,,
Sun 14 Oct 2012,203,66,161,125,183,111,62,92,,
Mon 15 Oct 2012,1142,1137,724,674,1311,959,352,332,,
Tue 16 Oct 2012,1290,1280,792,686,1600,1115,430,464,,
Wed 17 Oct 2012,1326,1304,785,723,1543,1096,476,436,,
Thu 18 Oct 2012,1606,2021,1247,1204,1879,1273,517,540,,
Fri 19 Oct 2012,790,638,529,438,997,725,316,309,,
Sat 20 Oct 2012,671,699,677,672,564,346,173,246,,
Sun 21 Oct 2012,436,359,438,376,453,240,112,209,,
Mon 22 Oct 2012,1324,1617,908,870,1506,1085,403,469,,
Tue 23 Oct 2012,1355,1477,976,845,1637,1175,463,456,,
Wed 24 Oct 2012,1292,1190,876,694,1506,1046,426,444,,
Thu 25 Oct 2012,1304,1464,981,844,1598,1091,431,450,,
Fri 26 Oct 2012,1666,2097,1181,1289,1657,1117,340,439,,
Sat 27 Oct 2012,357,220,307,248,359,214,96,182,,
Sun 28 Oct 2012,230,118,181,141,278,179,86,114,,
Mon 29 Oct 2012,981,860,648,509,1128,742,323,308,,
Tue 30 Oct 2012,820,717,539,536,1081,756,331,326,,
Wed 31 Oct 2012,826,703,464,381,990,710,288,277,,
Thu 1 Nov 2012,883,749,536,426,1046,724,194,303,,
Fri 2 Nov 2012,663,596,426,331,905,628,262,289,,
Sat 3 Nov 2012,322,193,356,250,380,232,113,228,,
Sun 4 Nov 2012,359,257,287,310,352,204,95,169,,
Mon 5 Nov 2012,850,768,596,463,1115,764,298,283,,
Tue 6 Nov 2012,913,743,565,467,1090,762,329,284,,
Wed 7 Nov 2012,911,675,572,463,1032,732,335,265,,
Thu 8 Nov 2012,870,807,589,499,1070,786,335,321,,
Fri 9 Nov 2012,781,640,538,375,1051,711,310,265,,
Sat 10 Nov 2012,438,261,377,345,380,220,106,181,,
Sun 11 Nov 2012,284,282,280,286,282,188,98,99,,
Mon 12 Nov 2012,764,744,663,684,747,496,206,262,,
Tue 13 Nov 2012,882,713,544,463,1174,805,390,338,,
Wed 14 Nov 2012,935,736,549,508,1185,816,355,317,,
Thu 15 Nov 2012,888,704,573,464,1066,711,322,316,,
Fri 16 Nov 2012,773,667,513,384,932,644,278,246,,
Sat 17 Nov 2012,397,340,312,303,349,258,114,157,,
Sun 18 Nov 2012,386,317,344,303,314,198,96,135,,
Mon 19 Nov 2012,827,752,547,496,1062,734,309,266,,
Tue 20 Nov 2012,884,730,572,468,1135,772,337,281,,
Wed 21 Nov 2012,933,890,617,519,1158,785,349,313,,
Thu 22 Nov 2012,994,870,644,582,1155,775,313,345,,
Fri 23 Nov 2012,659,576,483,372,947,615,292,218,,
Sat 24 Nov 2012,218,82,171,151,264,123,60,88,,
Sun 25 Nov 2012,213,117,171,157,227,138,58,79,,
Mon 26 Nov 2012,232,104,145,133,400,271,109,71,,
Tue 27 Nov 2012,352,142,224,151,507,332,159,125,,
Wed 28 Nov 2012,432,144,258,187,540,375,173,138,,
Thu 29 Nov 2012,375,104,211,150,478,292,128,112,,
Fri 30 Nov 2012,342,104,188,119,486,275,141,114,,
Sat 1 Dec 2012,-,-,-,-,153,128,54,61,,
Sun 2 Dec 2012,-,-,-,-,81,58,195,42,,
Mon 3 Dec 2012,-,-,-,-,660,457,214,167,,
Tue 4 Dec 2012,-,-,-,-,636,435,197,144,,
Wed 5 Dec 2012,-,-,-,-,662,435,184,143,,
Thu 6 Dec 2012,-,-,-,-,587,404,197,149,,
Fri 7 Dec 2012,-,-,-,-,612,439,172,138,,
Sat 8 Dec 2012,-,-,-,-,152,103,44,43,,
Sun 9 Dec 2012,-,-,-,-,180,107,44,41,,
Mon 10 Dec 2012,-,-,-,-,192,133,64,33,,
Tue 11 Dec 2012,-,-,-,-,262,171,76,63,,
Wed 12 Dec 2012,-,-,-,-,336,208,102,84,,
Thu 13 Dec 2012,-,-,-,-,375,243,100,85,,
Fri 14 Dec 2012,-,-,-,-,447,262,128,107,,
Sat 15 Dec 2012,-,-,-,-,142,89,39,41,,
Sun 16 Dec 2012,-,-,-,-,92,49,24,17,,
Mon 17 Dec 2012,-,-,-,-,193,133,73,18,,
Tue 18 Dec 2012,-,-,-,-,205,145,82,21,,
Wed 19 Dec 2012,-,-,-,-,287,187,92,74,,
Thu 20 Dec 2012,-,-,-,-,296,168,85,85,,
Fri 21 Dec 2012,-,-,-,-,87,56,35,6,,
Sat 22 Dec 2012,-,-,-,-,40,12,18,8,,
Sun 23 Dec 2012,-,-,-,-,53,26,15,12,,
Mon 24 Dec 2012,-,-,-,-,108,48,31,15,,
Tue 25 Dec 2012,-,-,-,-,27,21,11,3,,
Wed 26 Dec 2012,-,-,-,-,53,28,17,18,,
Thu 27 Dec 2012,-,-,-,-,72,36,22,0,,
Fri 28 Dec 2012,-,-,-,-,92,55,35,10,,
Sat 29 Dec 2012,-,-,-,-,87,29,16,1,,
Sun 30 Dec 2012,-,-,-,-,45,23,21,2,,
Mon 31 Dec 2012,-,-,-,-,97,43,28,17,,
