Date,1^ALEX,2^ORPY,3^COBY,4^CRTZ,5^LMET,6^LLYN,7^LBAY,8^SOMO
Tue 1 Jan 2013,0,1,10,8,56,30,15,12
Wed 2 Jan 2013,0,0,33,30,127,85,53,22
Thu 3 Jan 2013,0,0,39,50,159,76,52,11
Fri 4 Jan 2013,0,0,49,20,165,110,42,30
Sat 5 Jan 2013,0,2,16,13,78,47,21,15
Sun 6 Jan 2013,1,0,16,16,62,38,24,4
Mon 7 Jan 2013,0,0,67,48,231,119,69,31
Tue 8 Jan 2013,0,0,68,56,254,147,73,64
Wed 9 Jan 2013,0,0,74,76,252,176,85,67
Thu 10 Jan 2013,0,0,67,47,283,173,93,73
Fri 11 Jan 2013,0,0,40,36,217,148,84,53
Sat 12 Jan 2013,0,0,17,15,116,56,33,33
Sun 13 Jan 2013,0,1,19,29,85,37,23,13
Mon 14 Jan 2013,0,0,117,74,311,187,96,72
Tue 15 Jan 2013,0,0,114,44,295,194,99,67
Wed 16 Jan 2013,0,1,96,68,330,201,106,60
Thu 17 Jan 2013,1,0,84,38,282,182,97,58
Fri 18 Jan 2013,1,0,68,51,188,119,65,53
Sat 19 Jan 2013,0,0,26,23,75,22,33,8
Sun 20 Jan 2013,1,0,25,32,61,24,19,3
Mon 21 Jan 2013,0,0,52,33,195,112,65,39
Tue 22 Jan 2013,0,0,70,40,212,114,65,37
Wed 23 Jan 2013,0,0,63,25,178,95,52,34
Thu 24 Jan 2013,0,0,53,11,163,99,58,31
Fri 25 Jan 2013,0,0,30,19,178,85,57,32
Sat 26 Jan 2013,0,1,16,5,64,34,19,11
Sun 27 Jan 2013,0,0,16,9,110,74,47,18
Mon 28 Jan 2013,0,0,59,35,199,116,66,3
Tue 29 Jan 2013,0,0,57,20,194,107,60,45
Wed 30 Jan 2013,5,0,73,22,205,116,63,51
Thu 31 Jan 2013,4,0,64,33,223,146,71,43
Fri 1 Feb 2013,0,0,59,22,204,129,77,45
Sat 2 Feb 2013,1,0,29,16,71,41,19,17
Sun 3 Feb 2013,0,0,18,12,79,39,17,12
Mon 4 Feb 2013,0,0,73,27,205,128,73,46
Tue 5 Feb 2013,0,0,62,31,218,147,81,58
Wed 6 Feb 2013,4,0,70,31,259,173,92,53
Thu 7 Feb 2013,0,0,75,21,214,148,79,46
Fri 8 Feb 2013,4,1,36,14,149,69,43,1
Sat 9 Feb 2013,1,0,14,5,92,27,17,14
Sun 10 Feb 2013,1,1,25,16,84,47,16,9
Mon 11 Feb 2013,2,0,56,35,198,117,59,29
Tue 12 Feb 2013,1,1,60,21,216,131,71,43
Wed 13 Feb 2013,1,0,73,26,252,149,88,65
Thu 14 Feb 2013,8,0,87,44,269,171,89,67
Fri 15 Feb 2013,1,0,86,18,208,122,50,45
Sat 16 Feb 2013,3,1,25,13,68,36,19,26
Sun 17 Feb 2013,0,0,26,5,60,30,17,12
Mon 18 Feb 2013,3,0,46,9,133,89,43,27
Tue 19 Feb 2013,4,0,59,28,235,122,71,39
Wed 20 Feb 2013,2,0,51,17,211,120,58,34
Thu 21 Feb 2013,1,0,63,24,231,135,74,45
Fri 22 Feb 2013,2,0,59,18,207,123,69,49
Sat 23 Feb 2013,1,0,10,12,74,41,21,21
Sun 24 Feb 2013,1,0,26,21,90,42,20,26
Mon 25 Feb 2013,4,0,81,32,271,161,78,80
Tue 26 Feb 2013,4,0,127,38,301,197,90,80
Wed 27 Feb 2013,8,0,66,40,205,108,62,11
Thu 28 Feb 2013,0,0,52,20,202,83,64,28
Fri 1 Mar 2013,0,0,79,34,245,119,67,43
Sat 2 Mar 2013,0,0,24,19,85,34,24,22
Sun 3 Mar 2013,0,0,22,23,69,44,19,28
Mon 4 Mar 2013,0,0,75,36,252,139,78,63
Tue 5 Mar 2013,5,0,95,45,267,145,71,56
Wed 6 Mar 2013,7,0,88,63,325,192,90,84
Thu 7 Mar 2013,4,0,84,43,336,204,101,75
Fri 8 Mar 2013,17,0,92,54,356,208,108,84
Sat 9 Mar 2013,27,0,87,70,192,106,52,78
Sun 10 Mar 2013,9,0,80,51,162,82,45,65
Mon 11 Mar 2013,24,0,132,90,388,244,115,100
Tue 12 Mar 2013,14,0,148,74,364,236,129,107
Wed 13 Mar 2013,23,0,121,103,392,222,96,85
Thu 14 Mar 2013,22,0,110,41,297,157,75,61
Fri 15 Mar 2013,10,0,63,44,258,159,69,55
Sat 16 Mar 2013,3,0,44,30,129,60,35,49
Sun 17 Mar 2013,26,0,28,52,105,59,25,32
Mon 18 Mar 2013,23,0,109,63,349,199,115,72
Tue 19 Mar 2013,0,0,44,21,172,85,51,15
Wed 20 Mar 2013,0,0,75,46,250,123,64,52
Thu 21 Mar 2013,0,0,98,49,276,154,87,60
Fri 22 Mar 2013,1,0,99,48,277,147,71,66
Sat 23 Mar 2013,0,0,84,39,139,70,37,59
Sun 24 Mar 2013,5,0,76,70,144,70,40,59
Mon 25 Mar 2013,15,0,171,134,425,270,140,137
Tue 26 Mar 2013,54,0,249,153,529,330,148,152
Wed 27 Mar 2013,66,0,208,136,556,349,168,140
Thu 28 Mar 2013,86,0,230,178,605,345,182,169
Fri 29 Mar 2013,55,0,235,248,300,154,90,105
Sat 30 Mar 2013,92,0,445,512,335,206,103,101
Sun 31 Mar 2013,118,0,298,357,262,154,72,84
