Date,Alexandra Bridge Bikeway,Ottawa River Pathway,Eastern Canal Pathway,Western Canal Pathway,Laurier Segregated Bike - Metcalfe,Laurier Segregated Bike - Lyon ,Laurier Segregated Bike - Bay,Somerset bridge over Otrain,Otrain Pathway just north of Young Street,"OTrain
Pathway just north of Galdstone Avenue","OTrain
Pathway just north of Bayview Station",Portage Bridge
Mon 1 Jul 2013,611,5061,2900,3100,1557,1084,566,560,613,802,831,2162
Tue 2 Jul 2013,1459,1821,1245,1014,1904,1479,602,806,404,500,342,1658
Wed 3 Jul 2013,2174,3208,2100,1989,2434,1786,734,902,584,714,583,2396
Thu 4 Jul 2013,1913,3715,1723,1608,2451,1966,760,898,601,748,632,2170
Fri 5 Jul 2013,1759,2842,1700,1440,1838,1672,678,894,539,627,515,1802
Sat 6 Jul 2013,1541,3901,1913,2079,881,849,380,614,572,694,765,1141
Sun 7 Jul 2013,1290,2086,923,1301,1064,662,269,546,421,518,516,814
Mon 8 Jul 2013,2139,3894,1863,1909,2078,1891,745,936,660,789,735,2188
Tue 9 Jul 2013,2191,3189,1927,1918,2204,1851,753,946,581,678,567,2349
Wed 10 Jul 2013,1606,2911,1351,1265,2361,1704,687,810,495,627,532,1695
Thu 11 Jul 2013,2435,4614,2202,2200,2443,2249,844,1048,799,939,799,2576
Fri 12 Jul 2013,2116,4022,2067,1935,2412,1918,756,990,676,792,728,2236
Sat 13 Jul 2013,1867,3534,2032,2217,1138,890,332,726,598,781,748,1098
Sun 14 Jul 2013,1767,3757,1579,1909,1143,950,362,644,614,791,788,1073
Mon 15 Jul 2013,1825,2914,1843,1685,2366,1769,647,886,529,600,480,2191
Tue 16 Jul 2013,2063,2941,1776,1753,2354,1735,679,916,522,604,495,2315
Wed 17 Jul 2013,1755,2239,1639,1376,2155,1649,655,844,421,509,377,1945
Thu 18 Jul 2013,1849,2442,1632,1442,2284,1646,628,838,480,601,446,2006
Fri 19 Jul 2013,1340,1354,1099,778,1530,1098,433,588,291,337,233,1254
Sat 20 Jul 2013,1477,2153,1596,1773,979,641,251,670,355,432,415,1015
Sun 21 Jul 2013,2397,3195,1973,2768,1039,760,299,564,639,705,750,1416
Mon 22 Jul 2013,2228,3686,2251,2177,2366,1738,718,988,678,784,637,2433
Tue 23 Jul 2013,2035,2924,1884,1605,2344,1713,675,880,512,583,456,2251
Wed 24 Jul 2013,2038,2858,1865,1715,2410,1748,684,950,596,709,504,2181
Thu 25 Jul 2013,2397,3504,2402,2252,2536,1825,700,982,676,774,651,2499
Fri 26 Jul 2013,2074,3026,2127,2062,2209,1575,634,980,561,667,530,2012
Sat 27 Jul 2013,1626,3318,2380,2225,1008,729,335,686,575,678,678,2494
Sun 28 Jul 2013,772,851,751,870,590,385,157,374,193,229,221,412
Mon 29 Jul 2013,1704,2076,1460,1241,2076,1386,569,794,441,497,372,1723
Tue 30 Jul 2013,2530,3336,2194,2280,2556,1830,671,970,634,693,584,2449
Wed 31 Jul 2013,2466,3670,2352,2279,2564,1881,731,1070,707,796,665,2451
Thu 1 Aug 2013,1076,1229,914,751,1445,1001,391,606,272,309,199,1130
Fri 2 Aug 2013,1691,2379,1626,1539,1849,1307,477,798,477,555,409,1618
Sat 3 Aug 2013,1403,1696,1463,1564,544,490,201,492,302,360,327,801
Sun 4 Aug 2013,1489,1761,1236,1671,473,409,181,412,381,434,415,899
Mon 5 Aug 2013,2337,3643,2415,2806,916,658,256,502,624,724,724,1621
Tue 6 Aug 2013,2304,2977,1980,1906,2408,1679,667,952,561,612,522,2195
Wed 7 Aug 2013,1768,2101,1481,1282,2033,1481,613,812,383,443,326,1672
Thu 8 Aug 2013,2083,3086,2035,1918,2342,1645,636,940,532,624,527,1971
Fri 9 Aug 2013,1899,2676,1803,1604,2161,1478,615,858,500,597,399,1740
Sat 10 Aug 2013,1789,2439,1804,1867,1049,689,303,642,479,543,445,1013
Sun 11 Aug 2013,2161,2567,1770,2584,1003,694,273,560,511,584,568,1335
Mon 12 Aug 2013,2106,2784,1845,1763,2245,1610,863,846,577,672,544,2042
Tue 13 Aug 2013,1608,1924,1255,1048,1964,1397,608,740,432,490,344,1631
Wed 14 Aug 2013,1823,2113,1540,1355,2113,1494,621,826,465,530,377,1834
Thu 15 Aug 2013,2307,3082,2043,1913,2473,1762,733,968,626,685,552,2190
Fri 16 Aug 2013,1911,2391,1756,1474,2078,1470,606,838,565,626,474,1711
Sat 17 Aug 2013,1828,2731,2007,2131,996,662,299,736,519,597,538,1034
Sun 18 Aug 2013,2031,2532,1588,2173,1034,640,305,634,508,620,600,1070
Mon 19 Aug 2013,2031,2948,1883,1815,2368,1704,694,878,525,614,503,2137
Tue 20 Aug 2013,2183,3256,1968,1930,2552,1927,680,938,605,716,513,2251
Wed 21 Aug 2013,2162,2920,2046,1776,2444,1806,700,934,574,662,490,2149
Thu 22 Aug 2013,975,1077,783,587,1311,946,373,594,228,279,206,980
Fri 23 Aug 2013,1970,2780,1892,1686,2231,1583,574,902,608,707,541,1867
Sat 24 Aug 2013,1552,2503,1825,2002,1052,669,311,664,418,508,461,944
Sun 25 Aug 2013,1649,1907,1431,1774,843,639,260,632,448,502,476,942
Mon 26 Aug 2013,1440,1681,1194,970,1910,1317,517,748,369,448,317,1527
Tue 27 Aug 2013,1952,2499,1626,1611,2291,1655,608,908,564,678,510,2034
Wed 28 Aug 2013,1843,2587,1696,1540,2327,1647,590,910,479,596,463,2018
Thu 29 Aug 2013,2201,2891,1898,1851,2454,1861,689,976,596,682,529,2206
Fri 30 Aug 2013,1580,1892,1320,1041,1756,1374,526,816,407,534,381,1546
Sat 31 Aug 2013,1321,1358,1435,1269,791,519,223,506,287,289,268,753
Sun 1 Sep 2013,2078,2283,1603,2016,836,620,289,508,421,533,533,1211
Mon 2 Sep 2013,1103,1354,1129,1237,554,352,172,312,334,356,313,644
Tue 3 Sep 2013,1499,1775,1170,956,2042,1465,676,884,359,421,344,1588
Wed 4 Sep 2013,1987,2275,1393,1251,2316,1634,668,720,489,575,444,1928
Thu 5 Sep 2013,1994,2408,1595,1433,2378,1687,691,886,555,647,487,2042
Fri 6 Sep 2013,1937,2287,1545,1342,2180,1523,601,792,497,602,473,1858
Sat 7 Sep 2013,776,702,799,695,691,434,177,430,273,297,238,385
Sun 8 Sep 2013,1463,2099,1572,1738,821,527,213,522,476,548,408,902
Mon 9 Sep 2013,2017,2495,1475,1371,2323,1672,674,816,540,612,521,1947
Tue 10 Sep 2013,1043,871,749,611,1276,851,382,520,250,270,192,924
Wed 11 Sep 2013,1829,2402,1484,1396,2241,1611,673,904,543,637,519,1945
Thu 12 Sep 2013,1335,1349,1014,759,1638,1152,489,670,289,337,245,1313
Fri 13 Sep 2013,1495,1505,1156,866,1963,1368,567,732,359,383,297,1676
Sat 14 Sep 2013,1192,1381,1270,1267,744,528,275,616,379,409,307,633
Sun 15 Sep 2013,1048,1196,952,976,667,441,232,484,312,363,285,545
Mon 16 Sep 2013,1649,1929,1178,942,2065,1475,601,778,404,518,370,1725
Tue 17 Sep 2013,2051,2315,1390,1326,2294,1584,665,780,517,593,510,1953
Wed 18 Sep 2013,2243,2590,1600,1500,2384,1684,698,854,555,618,496,2015
Thu 19 Sep 2013,2255,2673,1641,1540,2509,1817,731,958,572,648,530,2085
Fri 20 Sep 2013,2049,2448,1688,1675,2392,1660,698,858,574,621,527,1959
Sat 21 Sep 2013,317,134,301,156,373,207,110,272,45,72,41,132
Sun 22 Sep 2013,689,633,595,682,633,391,161,348,172,196,160,346
Mon 23 Sep 2013,1819,1770,1120,780,2049,1428,565,722,429,478,374,1646
Tue 24 Sep 2013,2002,2221,1324,1134,2205,1554,626,816,525,592,473,1969
Wed 25 Sep 2013,2144,2428,1476,1265,2407,1605,618,856,509,579,473,2037
Thu 26 Sep 2013,1976,2274,1547,1207,2397,1658,608,840,561,618,500,1935
Fri 27 Sep 2013,1907,2292,1548,1322,2102,1477,548,812,502,574,457,1818
Sat 28 Sep 2013,39,1991,1638,1618,853,568,262,706,455,516,447,880
Sun 29 Sep 2013,1107,2182,1640,1773,837,569,286,502,508,599,562,945
