LMKTYPE_ID,DESCRIPTION,UD_FRENCH_DESC,DESCRIPTION,DESC_SOUNDEX,UD_FRENCH_DESC,TELEPHONE,PUBLIC_INFO,MUNICIP_NO,NAME_1,COORD_X,COORD_Y
WORSHIP,Place of Worship,Lieux de culte,St John the Evangelist,ST-JON TE EVENJELIS,St-John the Evangelist,232-4500,154 SOMERSET W.,1,OTTAWA,368226,5031202
WORSHIP,Place of Worship,Lieux de culte,St Luke's Anglican,EGLISE ENGLICANE ST-LUKE,Église Anglicane St-Luke,235-3416,760 SOMERSET W,1,OTTAWA,366749,5030339
WORSHIP,Place of Worship,Lieux de culte,Fourth the Baptist,AVE. FOUR BAPTISTE,Ave. Fourth Baptiste,236-1804,109-A 4 AVE.,1,OTTAWA,368304,5029466
WORSHIP,Place of Worship,Lieux de culte,McPhail Memorial Baptist,MACFAIL MEMORIAL BAPTIS,McPhail Memorial Baptist,235-7617,249 BRONSON,1,OTTAWA,366931,5030631
WORSHIP,Place of Worship,Lieux de culte,Pleasant Park Baptist,EGLISE BAPTISTE-PLEASEN PARK,Église Baptiste Pleasant Park,733-4886,414 PLEASANT PARK RD.,1,OTTAWA,371034,5028510
WORSHIP,Place of Worship,Lieux de culte,Faith Evangelical Lutheran,EGLISE LUTERIENE FAIT EVENJELICAL,Église Luthérienne Faith Evangelical,224-1971,43 MEADOWLANDS DR. W.,1,OTTAWA,364409,5023528
WORSHIP,Place of Worship,Lieux de culte,German Ev Martin Luther,JERMEN EV MARTIN LUTER,German Ev Martin Luther,233-1671,499 PRESTON,1,OTTAWA,366828,5028999
WORSHIP,Place of Worship,Lieux de culte,Iglesia Luterana Familia,IGLESIA LUTERANA FAMILIA,Iglesia Luterana Familia,824-4481,715 ROOSEVELT AVE.,1,OTTAWA,363539,5027061
WORSHIP,Place of Worship,Lieux de culte,Lutheran Church our Saviour,EGLISE LUTERIENE OUR SAVIOUR,Église Luthérienne Our Saviour,722-0802,715 ROOSEVELT AVE.,1,OTTAWA,363442,5027161
WORSHIP,Place of Worship,Lieux de culte,Mount Calvary Lutheran,EGLISE LUTERIENE MOUN KALVARI,Église Luthérienne Mount Calvary,733-5804,933 SMYTH,1,OTTAWA,373124,5029397
WORSHIP,Place of Worship,Lieux de culte,Peace Latvian Ev Lutheran,EGLISE LUTERIENE PEASSE LATVIEN EV,Église Luthérienne Peace Latvian Ev,230-4085,83 MAIN,1,OTTAWA,369018,5030589
WORSHIP,Place of Worship,Lieux de culte,St John Lutheran,EGLISE LUTERIENE ST-JON,Église Luthérienne St-John,749-6953,270 CRICHTON,1,OTTAWA,368794,5033635
WORSHIP,Place of Worship,Lieux de culte,Saint Luke Lutheran Church,EGLISE LUTERIENE ST-LUKE,Église Luthérienne Saint-Luke,749-1731,326 MACKAY,1,OTTAWA,368880,5033717
WORSHIP,Place of Worship,Lieux de culte,St Paul Lutheran,EGLISE LUTERIENE ST-POL,Église Luthérienne St-Paul,234-0321,210 WILBROD,1,OTTAWA,368681,5032087
WORSHIP,Place of Worship,Lieux de culte,St Peter's Lutheran,EGLISE LUTERIENE ST-PETER,Église Luthérienne St-Peter,233-9911,400 SPARKS,1,OTTAWA,366851,5031226
WORSHIP,Place of Worship,Lieux de culte,New Apostolic,NEW APOSTOLIK,New Apostolic,860-0960,2680 PRISCILLA ST.,1,OTTAWA,360251,5025025
WORSHIP,Place of Worship,Lieux de culte,Pine Grove Bible,PINE GROVE BIBLE,Pine Grove Bible,745-4664,2144 EAST ACRES,1,OTTAWA,376069,5034315
WORSHIP,Place of Worship,Lieux de culte,Glory,GLORI,Glory,741-9964,206 MONTREAL RD.,1,OTTAWA,370280,5033158
WORSHIP,Place of Worship,Lieux de culte,Adventiste du 7ieme Jour Francophone,ADVENTISTE-DU 7IEME JOUR FRENCOFONE,Adventiste du 7ieme jour francophone,244-4626,375 KING EDWARD,1,OTTAWA,368514,5032512
WORSHIP,Place of Worship,Lieux de culte,Seventh Day Adventist,SEVEN DE ADVENTIS,Seventh Day Adventist,728-8178,2200 BENJAMIN AVE.,1,OTTAWA,362175,5025045
WORSHIP,Place of Worship,Lieux de culte,Seventh Day Adventist Church-Ott. E.,EGLISE SEVEN DE ADVENTIS-OTA ES,Église Seventh Day Adventist-Ottawa est,745-9987,194 PRINCE ALBERT,1,OTTAWA,370906,5031928
WORSHIP,Place of Worship,Lieux de culte,East Gate Alliance,EAS GATE ALIENSE,East Gate Alliance,744-0682,550 CODD'S RD.,1,OTTAWA,372710,5034521
WORSHIP,Place of Worship,Lieux de culte,Redeemer Alliance,REDEMER ALIENSE,Redeemer Alliance,837-9953,4825 INNES RD.,1,OTTAWA,385204,5036747
WORSHIP,Place of Worship,Lieux de culte,Vietnamese Alliance,VIETNAMESE ALIENSE,Vietnamese Alliance,737-3274,1386 BANK ST.,1,OTTAWA,369603,5027472
WORSHIP,Place of Worship,Lieux de culte,Cornerstone House of Refuge Apostolic,KORNERSTONE OUSE OF REFUJE APOSTOLIK,Cornerstone House of Refuge Apostolic,725-1432,1196 WELLINGTON,1,OTTAWA,365109,5029215
WORSHIP,Place of Worship,Lieux de culte,Emmanuel Apostolic,EMANUEL APOSTOLIK,Emmanuel Apostolic,521-7455,3347 MCCARTHY,1,OTTAWA,370021,5023824
WORSHIP,Place of Worship,Lieux de culte,Cornerstone Bible,KORNERSTONE BIBLE,Cornerstone Bible,830-0579,112-1803 ST. JOSEPH,1,OTTAWA,379282,5036194
WORSHIP,Place of Worship,Lieux de culte,Cavalry Baptist,KAVARI BAPTISTE,Cavary Baptiste,233-7213,107 MAIN,1,OTTAWA,369080,5030450
WORSHIP,Place of Worship,Lieux de culte,Du Bon Berger,DU BON BERJER,Du Bon Berger,830-7654,3775 ST. JOSEPH,1,OTTAWA,384504,5039345
WORSHIP,Place of Worship,Lieux de culte,Fellowship Baptist - Kanata,FELOCHIP BAPTIS - KANATA,Fellowship Baptist - Kanata,591-3246,1078 KLONDIKE RD.,1,OTTAWA,349437,5024118
WORSHIP,Place of Worship,Lieux de culte,Parkdale Baptist,PARKDATE BAPTIS,Parkdate Baptist,729-4022,474 PARKDALE,1,OTTAWA,365240,5029023
WORSHIP,Place of Worship,Lieux de culte,Westboro Baptist,EGLISE BAPTISTE-WESTBORO,Église Baptiste Westboro,722-1893,307 RICHMOND,1,OTTAWA,363340,5028405
WORSHIP,Place of Worship,Lieux de culte,Grace Baptist Fellowship,EGLISE BAPTISTE-GRASSE FELOCHIP,Église Baptiste Grace Fellowship,241-3580,186 CLARENCE,1,OTTAWA,368201,5032580
TRANSIT, _Transit Stations and Park & Rides,Parc-o-bus et stations du Transitway,Orleans Park & Ride,PARC-O-BUS ORLEN,Parc-o-bus Orléans,,,1,OTTAWA,381407,5038332
WORSHIP,Place of Worship,Lieux de culte,Rideauview Bible Chapel,RIDOVIEW BIBLE CHAPEL,Rideauview Bible Chapel,225-8452,1249 PRINCE OF WALES,1,OTTAWA,366856,5026126
WORSHIP,Place of Worship,Lieux de culte,Canadian Reformed Church,EGLISE KANADIEN REFORMED,Église Canadian Reformed,727-3155,1000 CASTLE HILL CRESC.,1,OTTAWA,363897,5025748
